t,phase,temp,power,sm_mhz,throttle
13.02,load,62,14.855,1500,0
13.071,load,62,14.855,1500,0
13.121,load,62,14.855,1500,0
13.172,load,62,14.855,1500,0
13.222,load,62,14.855,1500,0
13.273,load,62,14.855,1500,0
13.324,load,62,14.855,1500,0
13.374,load,62,14.855,1500,0
13.424,load,62,14.855,1500,0
13.475,load,62,14.855,1500,0
13.526,load,62,14.855,1500,0
13.576,load,62,14.675,1500,0
13.626,load,62,14.675,1500,0
13.677,load,62,14.675,1500,0
13.727,load,62,14.675,1500,0
13.777,load,62,14.675,1500,0
13.828,load,62,14.675,1500,0
13.878,load,62,14.675,1500,0
13.928,load,62,14.675,1500,0
13.979,load,62,14.675,1500,0
14.029,load,62,14.675,1500,0
14.079,load,63,14.675,1500,0
14.13,load,63,14.675,1500,0
14.18,load,63,14.675,1500,0
14.231,load,63,14.675,1500,0
14.281,load,63,14.675,1500,0
14.332,load,63,14.675,1500,0
14.382,load,63,14.675,1500,0
14.433,load,63,14.675,1500,0
14.483,load,63,14.675,1500,0
14.534,load,63,14.675,1500,0
14.584,load,63,14.716,1500,0
14.635,load,63,14.716,1500,0
14.685,load,63,14.716,1500,0
14.736,load,63,14.716,1500,0
14.786,load,63,14.716,1500,0
14.836,load,63,14.716,1500,0
14.886,load,63,14.716,1500,0
14.937,load,63,14.716,1500,0
14.987,load,63,14.716,1500,0
15.038,load,63,14.716,1500,0
15.088,load,63,14.716,1500,0
15.138,load,63,14.716,1500,0
15.189,load,63,14.716,1500,0
15.239,load,63,14.716,1500,0
15.29,load,63,14.716,1500,0
15.34,load,63,14.716,1500,0
15.391,load,63,14.716,1500,0
15.441,load,63,14.716,1500,0
15.492,load,63,14.716,1500,0
15.542,load,63,14.716,1500,0
15.592,load,63,14.788,1500,0
15.643,load,63,14.788,1500,0
15.693,load,63,14.788,1500,0
15.744,load,63,14.788,1500,0
15.794,load,63,14.788,1500,0
15.845,load,63,14.788,1500,0
15.895,load,63,14.788,1500,0
15.946,load,63,14.788,1500,0
15.996,load,63,14.788,1500,0
16.046,load,63,14.788,1500,0
16.097,load,63,14.788,1500,0
16.147,load,63,14.788,1500,0
16.198,load,63,14.788,1500,0
16.248,load,63,14.788,1500,0
16.299,load,63,14.788,1500,0
16.349,load,63,14.788,1500,0
16.399,load,63,14.788,1500,0
16.45,load,63,14.788,1500,0
16.5,load,63,14.788,1500,0
16.551,load,63,14.788,1500,0
16.601,load,63,14.89,1500,0
16.651,load,63,14.89,1500,0
16.702,load,63,14.89,1500,0
16.752,load,63,14.89,1500,0
16.803,load,63,14.89,1500,0
16.853,load,63,14.89,1500,0
16.903,load,63,14.89,1500,0
16.954,load,63,14.89,1500,0
17.005,load,63,14.89,1500,0
17.055,load,63,14.89,1500,0
17.106,load,63,14.89,1500,0
17.156,load,63,14.89,1500,0
17.206,load,63,14.89,1500,0
17.257,load,63,14.89,1500,0
17.308,load,63,14.89,1500,0
17.358,load,63,14.89,1500,0
17.409,load,63,14.89,1500,0
17.459,load,63,14.89,1500,0
17.509,load,63,14.89,1500,0
17.56,load,63,13.47,1500,1
17.61,load,63,13.47,1500,1
17.661,load,63,13.47,1500,1
17.711,load,63,13.47,1500,1
17.761,load,63,13.47,1500,1
17.811,load,63,13.47,1500,1
17.862,load,63,13.47,1500,1
17.912,load,63,13.47,1500,1
17.963,load,63,13.47,1500,1
18.013,load,63,13.47,1500,1
18.064,load,62,13.47,315,1
18.114,load,62,13.47,315,1
18.164,load,62,13.47,315,1
18.215,load,62,13.47,315,1
18.265,load,62,13.47,315,1
18.316,load,62,13.47,315,1
18.367,load,62,13.47,315,1
18.417,load,62,13.47,315,1
18.468,load,62,13.47,315,1
18.518,load,62,13.47,315,1
18.569,load,62,10.089,315,1
18.619,load,62,10.089,315,1
18.669,load,62,10.089,315,1
18.72,load,62,10.089,315,1
18.77,load,62,10.089,315,1
18.821,load,62,10.089,315,1
18.871,load,62,10.089,315,1
18.921,load,62,10.089,315,1
18.972,load,62,10.089,315,1
19.022,load,62,10.089,315,1
19.073,load,61,10.089,210,1
19.123,load,61,10.089,210,1
19.174,load,61,10.089,210,1
19.224,load,61,10.089,210,1
19.275,load,61,10.089,210,1
19.325,load,61,10.089,210,1
19.375,load,61,10.089,210,1
19.426,load,61,10.089,210,1
19.476,load,61,10.089,210,1
19.526,load,61,10.089,210,1
19.577,load,61,6.463,210,1
19.627,load,61,6.463,210,1
19.677,load,61,6.463,210,1
19.728,load,61,6.463,210,1
19.778,load,61,6.463,210,1
19.829,load,61,6.463,210,1
19.879,load,61,6.463,210,1
19.929,load,61,6.463,210,1
19.98,load,61,6.463,210,1
20.03,load,61,6.463,210,1
20.08,load,61,6.463,210,1
20.13,load,61,6.463,210,1
20.181,load,61,6.463,210,1
20.231,load,61,6.463,210,1
20.282,load,61,6.463,210,1
20.332,load,61,6.463,210,1
20.382,load,61,6.463,210,1
20.433,load,61,6.463,210,1
20.483,load,61,6.463,210,1
20.534,load,61,6.463,210,1
20.584,load,61,6.213,210,1
20.634,load,61,6.213,210,1
20.684,load,61,6.213,210,1
20.735,load,61,6.213,210,1
20.785,load,61,6.213,210,1
20.835,load,61,6.213,210,1
20.886,load,61,6.213,210,1
20.936,load,61,6.213,210,1
20.987,load,61,6.213,210,1
21.037,load,61,6.213,210,1
21.087,load,61,6.213,210,1
21.138,load,61,6.213,210,1
21.188,load,61,6.213,210,1
21.238,load,61,6.213,210,1
21.289,load,61,6.213,210,1
21.339,load,61,6.213,210,1
21.39,load,61,6.213,210,1
21.44,load,61,6.213,210,1
21.491,load,61,6.213,210,1
21.541,load,61,6.213,210,1
21.591,load,61,6.202,210,1
21.642,load,61,6.202,210,1
21.692,load,61,6.202,210,1
21.743,load,61,6.202,210,1
21.793,load,61,6.202,210,1
21.844,load,61,6.202,210,1
21.894,load,61,6.202,210,1
21.944,load,61,6.202,210,1
21.995,load,61,6.202,210,1
22.045,load,61,6.202,210,1
22.095,load,61,6.268,210,1
22.146,load,61,6.268,210,1
22.196,load,61,6.268,210,1
22.247,load,61,6.268,210,1
22.297,load,61,6.268,210,1
22.348,load,61,6.268,210,1
22.398,load,61,6.268,210,1
22.448,load,61,6.268,210,1
22.499,load,61,6.268,210,1
22.549,load,61,6.268,210,1
22.6,load,61,6.439,285,1
22.651,load,61,6.439,285,1
22.701,load,61,6.439,285,1
22.751,load,61,6.439,285,1
22.802,load,61,6.439,285,1
22.852,load,61,6.439,285,1
22.903,load,61,6.439,285,1
22.953,load,61,6.439,285,1
23.004,load,61,6.439,285,1
23.054,load,61,6.439,285,1
23.105,load,67,17.719,1800,4
23.155,load,67,17.719,1800,4
23.206,load,67,17.719,1800,4
23.256,load,67,17.719,1800,4
23.307,load,67,17.719,1800,4
23.357,load,67,17.719,1800,4
23.408,load,67,17.719,1800,4
23.458,load,67,17.719,1800,4
23.508,load,67,17.719,1800,4
23.559,load,69,38.841,1807,4
23.609,load,69,38.841,1807,4
23.66,load,69,38.841,1807,4
23.71,load,69,38.841,1807,4
23.76,load,69,38.841,1807,4
23.811,load,69,38.841,1807,4
23.861,load,69,38.841,1807,4
23.912,load,69,38.841,1807,4
23.962,load,69,38.841,1807,4
24.012,load,69,38.841,1807,4
24.062,load,74,56.816,1785,4
24.113,load,74,56.816,1785,4
24.163,load,74,56.816,1785,4
24.213,load,74,56.816,1785,4
24.264,load,74,56.816,1785,4
24.314,load,74,56.816,1785,4
24.364,load,74,56.816,1785,4
24.415,load,74,56.816,1785,4
24.465,load,74,56.816,1785,4
24.515,load,74,56.816,1785,4
24.566,load,75,56.738,1785,4
24.616,load,75,56.738,1785,4
24.667,load,75,56.738,1785,4
24.717,load,75,56.738,1785,4
24.768,load,75,56.738,1785,4
24.818,load,75,56.738,1785,4
24.868,load,75,56.738,1785,4
24.919,load,75,56.738,1785,4
24.969,load,75,56.738,1785,4
25.02,load,75,56.738,1785,4
25.07,load,74,55.346,1785,4
25.121,load,74,55.346,1785,4
25.171,load,74,55.346,1785,4
25.222,load,74,55.346,1785,4
25.272,load,74,55.346,1785,4
25.322,load,74,55.346,1785,4
25.372,load,74,55.346,1785,4
25.423,load,74,55.346,1785,4
25.473,load,74,55.346,1785,4
25.524,load,74,55.346,1785,4
25.574,load,76,58.345,1867,4
25.625,load,76,58.345,1867,4
25.675,load,76,58.345,1867,4
25.726,load,76,58.345,1867,4
25.776,load,76,58.345,1867,4
25.826,load,76,58.345,1867,4
25.876,load,76,58.345,1867,4
25.927,load,76,58.345,1867,4
25.977,load,76,58.345,1867,4
26.028,load,76,58.345,1867,4
26.078,load,76,58.323,1785,4
26.128,load,76,58.323,1785,4
26.178,load,76,58.323,1785,4
26.229,load,76,58.323,1785,4
26.28,load,76,58.323,1785,4
26.33,load,76,58.323,1785,4
26.381,load,76,58.323,1785,4
26.431,load,76,58.323,1785,4
26.482,load,76,58.323,1785,4
26.532,load,76,58.323,1785,4
26.583,load,75,54.641,1762,4
26.633,load,75,54.641,1762,4
26.684,load,75,54.641,1762,4
26.734,load,75,54.641,1762,4
26.785,load,75,54.641,1762,4
26.835,load,75,54.641,1762,4
26.885,load,75,54.641,1762,4
26.936,load,75,54.641,1762,4
26.986,load,75,54.641,1762,4
27.036,load,75,54.641,1762,4
27.087,load,77,57.813,1897,4
27.138,load,77,57.813,1897,4
27.188,load,77,57.813,1897,4
27.239,load,77,57.813,1897,4
27.289,load,77,57.813,1897,4
27.34,load,77,57.813,1897,4
27.39,load,77,57.813,1897,4
27.44,load,77,57.813,1897,4
27.491,load,77,57.813,1897,4
27.541,load,77,57.813,1897,4
27.592,load,77,58.38,1770,4
27.642,load,77,58.38,1770,4
27.693,load,77,58.38,1770,4
27.743,load,77,58.38,1770,4
27.793,load,77,58.38,1770,4
27.844,load,77,58.38,1770,4
27.894,load,77,58.38,1770,4
27.944,load,77,58.38,1770,4
27.995,load,77,58.38,1770,4
28.045,load,77,58.38,1770,4
28.096,load,76,54.821,1785,4
28.146,load,76,54.821,1785,4
28.196,load,76,54.821,1785,4
28.247,load,76,54.821,1785,4
28.297,load,76,54.821,1785,4
28.347,load,76,54.821,1785,4
28.398,load,76,54.821,1785,4
28.448,load,76,54.821,1785,4
28.499,load,76,54.821,1785,4
28.549,load,76,54.821,1785,4
28.599,load,78,56.572,1920,4
28.65,load,78,56.572,1920,4
28.701,load,78,56.572,1920,4
28.751,load,78,56.572,1920,4
28.801,load,78,56.572,1920,4
28.852,load,78,56.572,1920,4
28.902,load,78,56.572,1920,4
28.953,load,78,56.572,1920,4
29.003,load,78,56.572,1920,4
29.053,load,78,56.572,1920,4
29.104,load,78,57.705,1770,4
29.154,load,78,57.705,1770,4
29.204,load,78,57.705,1770,4
29.255,load,78,57.705,1770,4
29.305,load,78,57.705,1770,4
29.356,load,78,57.705,1770,4
29.406,load,78,57.705,1770,4
29.456,load,78,57.705,1770,4
29.507,load,78,57.705,1770,4
29.557,load,77,53.601,1777,4
29.608,load,77,53.601,1777,4
29.658,load,77,53.601,1777,4
29.708,load,77,53.601,1777,4
29.758,load,77,53.601,1777,4
29.809,load,77,53.601,1777,4
29.86,load,77,53.601,1777,4
29.91,load,77,53.601,1777,4
29.961,load,77,53.601,1777,4
30.011,load,77,53.601,1777,4
30.062,load,79,56.77,1905,4
30.112,load,79,56.77,1905,4
30.162,load,79,56.77,1905,4
30.213,load,79,56.77,1905,4
30.263,load,79,56.77,1905,4
30.314,load,79,56.77,1905,4
30.364,load,79,56.77,1905,4
30.414,load,79,56.77,1905,4
30.465,load,79,56.77,1905,4
30.516,load,79,56.77,1905,4
30.566,load,79,57.182,1815,4
30.616,load,79,57.182,1815,4
30.666,load,79,57.182,1815,4
30.717,load,79,57.182,1815,4
30.767,load,79,57.182,1815,4
30.817,load,79,57.182,1815,4
30.868,load,79,57.182,1815,4
30.918,load,79,57.182,1815,4
30.969,load,79,57.182,1815,4
31.019,load,79,57.182,1815,4
31.069,load,77,54.067,1777,4
31.119,load,77,54.067,1777,4
31.17,load,77,54.067,1777,4
31.22,load,77,54.067,1777,4
31.27,load,77,54.067,1777,4
31.321,load,77,54.067,1777,4
31.371,load,77,54.067,1777,4
31.421,load,77,54.067,1777,4
31.472,load,77,54.067,1777,4
31.522,load,77,54.067,1777,4
31.572,load,80,58.251,1747,4
31.623,load,80,58.251,1747,4
31.673,load,80,58.251,1747,4
31.724,load,80,58.251,1747,4
31.774,load,80,58.251,1747,4
31.824,load,80,58.251,1747,4
31.874,load,80,58.251,1747,4
31.924,load,80,58.251,1747,4
31.975,load,80,58.251,1747,4
32.025,load,80,58.251,1747,4
32.076,load,79,58.502,1770,4
32.126,load,79,58.502,1770,4
32.176,load,79,58.502,1770,4
32.227,load,79,58.502,1770,4
32.277,load,79,58.502,1770,4
32.327,load,79,58.502,1770,4
32.377,load,79,58.502,1770,4
32.428,load,79,58.502,1770,4
32.478,load,79,58.502,1770,4
32.529,load,79,58.502,1770,4
32.579,load,78,54.303,1777,4
32.629,load,78,54.303,1777,4
32.679,load,78,54.303,1777,4
32.73,load,78,54.303,1777,4
32.781,load,78,54.303,1777,4
32.831,load,78,54.303,1777,4
32.882,load,78,54.303,1777,4
32.932,load,78,54.303,1777,4
32.982,load,78,54.303,1777,4
33.033,load,78,54.303,1777,4
33.083,load,80,57.357,1762,4
33.134,load,80,57.357,1762,4
33.184,load,80,57.357,1762,4
33.235,load,80,57.357,1762,4
33.285,load,80,57.357,1762,4
33.336,load,80,57.357,1762,4
33.386,load,80,57.357,1762,4
33.436,load,80,57.357,1762,4
33.487,load,80,57.357,1762,4
33.537,load,80,57.357,1762,4
33.587,load,80,58.08,1807,4
33.638,load,80,58.08,1807,4
33.688,load,80,58.08,1807,4
33.738,load,80,58.08,1807,4
33.789,load,80,58.08,1807,4
33.839,load,80,58.08,1807,4
33.89,load,80,58.08,1807,4
33.94,load,80,58.08,1807,4
33.99,load,80,58.08,1807,4
34.04,load,80,58.08,1807,4
34.091,load,79,54.955,1755,4
34.141,load,79,54.955,1755,4
34.192,load,79,54.955,1755,4
34.242,load,79,54.955,1755,4
34.292,load,79,54.955,1755,4
34.343,load,79,54.955,1755,4
34.393,load,79,54.955,1755,4
34.443,load,79,54.955,1755,4
34.494,load,79,54.955,1755,4
34.544,load,79,54.955,1755,4
34.594,load,81,58.161,1837,4
34.645,load,81,58.161,1837,4
34.695,load,81,58.161,1837,4
34.746,load,81,58.161,1837,4
34.796,load,81,58.161,1837,4
34.846,load,81,58.161,1837,4
34.897,load,81,58.161,1837,4
34.947,load,81,58.161,1837,4
34.997,load,81,58.161,1837,4
35.048,load,81,58.161,1837,4
35.098,load,80,58.422,1762,4
35.149,load,80,58.422,1762,4
35.199,load,80,58.422,1762,4
35.25,load,80,58.422,1762,4
35.3,load,80,58.422,1762,4
35.351,load,80,58.422,1762,4
35.401,load,80,58.422,1762,4
35.451,load,80,58.422,1762,4
35.502,load,80,58.422,1762,4
35.552,load,80,58.422,1762,4
35.603,load,80,54.882,1747,4
35.653,load,80,54.882,1747,4
35.703,load,80,54.882,1747,4
35.754,load,80,54.882,1747,4
35.804,load,80,54.882,1747,4
35.854,load,80,54.882,1747,4
35.904,load,80,54.882,1747,4
35.955,load,80,54.882,1747,4
36.005,load,80,54.882,1747,4
36.056,load,80,54.882,1747,4
36.106,load,81,57.254,1920,4
36.156,load,81,57.254,1920,4
36.206,load,81,57.254,1920,4
36.257,load,81,57.254,1920,4
36.307,load,81,57.254,1920,4
36.357,load,81,57.254,1920,4
36.408,load,81,57.254,1920,4
36.458,load,81,57.254,1920,4
36.509,load,81,57.254,1920,4
36.559,load,81,57.7,1770,4
36.609,load,81,57.7,1770,4
36.66,load,81,57.7,1770,4
36.71,load,81,57.7,1770,4
36.761,load,81,57.7,1770,4
36.811,load,81,57.7,1770,4
36.862,load,81,57.7,1770,4
36.913,load,81,57.7,1770,4
36.963,load,81,57.7,1770,4
37.013,load,81,57.7,1770,4
37.064,load,80,54.192,1747,4
37.114,load,80,54.192,1747,4
37.165,load,80,54.192,1747,4
37.215,load,80,54.192,1747,4
37.266,load,80,54.192,1747,4
37.316,load,80,54.192,1747,4
37.366,load,80,54.192,1747,4
37.417,load,80,54.192,1747,4
37.467,load,80,54.192,1747,4
37.517,load,80,54.192,1747,4
37.567,load,82,57.143,1897,4
37.618,load,82,57.143,1897,4
37.668,load,82,57.143,1897,4
37.718,load,82,57.143,1897,4
37.769,load,82,57.143,1897,4
37.82,load,82,57.143,1897,4
37.87,load,82,57.143,1897,4
37.921,load,82,57.143,1897,4
37.971,load,82,57.143,1897,4
38.021,load,82,57.143,1897,4
38.072,load,81,58.587,1747,4
38.122,load,81,58.587,1747,4
38.173,load,81,58.587,1747,4
38.223,load,81,58.587,1747,4
38.273,load,81,58.587,1747,4
38.324,load,81,58.587,1747,4
38.374,load,81,58.587,1747,4
38.424,load,81,58.587,1747,4
38.475,load,81,58.587,1747,4
38.525,load,81,58.587,1747,4
38.575,load,81,55.073,1732,4
38.625,load,81,55.073,1732,4
38.676,load,81,55.073,1732,4
38.726,load,81,55.073,1732,4
38.777,load,81,55.073,1732,4
38.827,load,81,55.073,1732,4
38.877,load,81,55.073,1732,4
38.928,load,81,55.073,1732,4
38.978,load,81,55.073,1732,4
39.028,load,81,55.073,1732,4
39.079,load,82,56.276,1912,4
39.129,load,82,56.276,1912,4
39.18,load,82,56.276,1912,4
39.23,load,82,56.276,1912,4
39.281,load,82,56.276,1912,4
39.331,load,82,56.276,1912,4
39.381,load,82,56.276,1912,4
39.432,load,82,56.276,1912,4
39.482,load,82,56.276,1912,4
39.532,load,82,56.276,1912,4
39.583,load,82,58.403,1732,4
39.633,load,82,58.403,1732,4
39.683,load,82,58.403,1732,4
39.733,load,82,58.403,1732,4
39.784,load,82,58.403,1732,4
39.834,load,82,58.403,1732,4
39.885,load,82,58.403,1732,4
39.935,load,82,58.403,1732,4
39.985,load,82,58.403,1732,4
40.036,load,82,58.403,1732,4
40.086,load,82,55.29,1740,4
40.137,load,82,55.29,1740,4
40.187,load,82,55.29,1740,4
40.238,load,82,55.29,1740,4
40.288,load,82,55.29,1740,4
40.338,load,82,55.29,1740,4
40.388,load,82,55.29,1740,4
40.439,load,82,55.29,1740,4
40.489,load,82,55.29,1740,4
40.54,load,82,55.29,1740,4
40.59,load,81,55.08,1882,0
40.641,load,81,55.08,1882,0
40.691,load,81,55.08,1882,0
40.741,load,81,55.08,1882,0
40.792,load,81,55.08,1882,0
40.842,load,81,55.08,1882,0
40.893,load,81,55.08,1882,0
40.943,load,81,55.08,1882,0
40.994,load,81,55.08,1882,0
41.044,load,81,55.08,1882,0
41.094,load,82,58.554,1732,4
41.144,load,82,58.554,1732,4
41.195,load,82,58.554,1732,4
41.245,load,82,58.554,1732,4
41.295,load,82,58.554,1732,4
41.346,load,82,58.554,1732,4
41.396,load,82,58.554,1732,4
41.447,load,82,58.554,1732,4
41.497,load,82,58.554,1732,4
41.547,load,82,58.554,1732,4
41.598,load,82,55.49,1732,4
