elapsed,tokens,decode_s,tok_s,ttft
132.35797953605652,128,3.1966974,40.041325150137766,0.0252591
135.88467264175415,128,3.1961049,40.04874808708563,0.0241207
139.38076448440552,128,3.1634646,40.46196692069827,0.0239563
143.01419949531555,128,3.2933378,38.86634404767103,0.0241544
146.64372491836548,128,3.3044392,38.735770959259895,0.023084
150.22009015083313,128,3.2256612,39.68178679149565,0.0240592
153.7340862751007,128,3.1894453,40.13237035292626,0.0247585
157.25859093666077,128,3.1491336,40.646100248017426,0.0249861
160.8170714378357,128,3.2324385,39.59858787723262,0.0242096
164.77201056480408,128,3.5454894,36.102209190076834,0.0234928
168.60316562652588,128,3.397557,37.67412879312989,0.0251702
172.07347345352173,128,3.1559045,40.55889523906696,0.0261369
175.5063500404358,128,3.0959061,41.34492321973202,0.0232839
179.23621487617493,128,3.3452712,38.262966542144625,0.0237789
182.72333145141602,128,3.115091,41.09029238632194,0.0237683
186.19111728668213,128,3.14895,40.64847012496229,0.0230941
189.78222680091858,128,3.2672017,39.17725679439992,0.0248976
193.50135731697083,128,3.3035933,38.74568942853831,0.0254711
197.00921607017517,128,3.1800855,40.25049012047003,0.0232266
200.5435390472412,128,3.1970323,40.03713068522955,0.0240474
204.13966369628906,128,3.2565099,39.30588388507586,0.023939
207.57266354560852,128,3.0972425,41.32708368815164,0.0235927
211.16993165016174,128,3.2709418,39.13246025961085,0.0226729
214.84675478935242,128,3.3126091,38.640236784956,0.0243442
219.2921175956726,128,3.8917193,32.890347461596214,0.0384514
223.07794666290283,128,3.3827667,37.83884948376724,0.0260076
226.60327196121216,128,3.1773981,40.28453343633585,0.0230383
230.21880412101746,128,3.2090599,39.887070976767994,0.0256299
233.80173301696777,128,3.2456934,39.43687348903627,0.0240951
237.4422526359558,128,3.2822478,38.997664953877035,0.0243254
241.17579627037048,128,3.3188576,38.567487800621514,0.0257536
244.73778176307678,128,3.2472677,39.41775419377959,0.0239531
248.22881531715393,128,3.1662269,40.426666831742224,0.0229315
251.77317643165588,128,3.2241098,39.70088115485397,0.0233722
255.42388153076172,128,3.2827931,38.99118710831944,0.0269894
258.9845697879791,128,3.225751,39.68068211092549,0.0230702
262.56701374053955,128,3.2652125,39.20112396972632,0.0234562
266.2112646102905,128,3.1689253,40.39224275813633,0.0248979
269.7426393032074,128,3.2044465,39.94449587471659,0.0238315
273.31019163131714,128,3.2431936,39.46727077902472,0.024362
277.0931305885315,128,3.4635835,36.95594461632006,0.0240222
280.6239366531372,128,3.2079101,39.901367560144536,0.0238384
284.22306203842163,128,3.262957,39.22822151808926,0.0243379
287.8836886882782,128,3.3369661,38.35819608715833,0.0238763
291.4772744178772,128,3.2170059,39.788549968155166,0.0242785
295.1006188392639,128,3.2889305,38.91842652193471,0.0226157
298.7819666862488,128,3.3512108,38.195150242413874,0.0245379
302.5176284313202,128,3.3365834,38.362595701938695,0.0246631
306.03872776031494,128,3.1987958,40.01505816657631,0.0233217
309.6086542606354,128,3.2510018,39.37247896940568,0.0241551
313.3510584831238,128,3.3753633,37.921843850112374,0.022651
