t,phase,temp,power,sm_mhz,throttle
15.83,load,57,13.617,1500,0
15.881,load,57,13.617,1500,0
15.931,load,57,13.617,1500,0
15.982,load,57,13.617,1500,0
16.032,load,57,13.617,1500,0
16.083,load,57,13.617,1500,0
16.133,load,57,13.617,1500,0
16.184,load,57,13.617,1500,0
16.234,load,57,13.617,1500,0
16.285,load,57,13.617,1500,0
16.335,load,57,13.617,1500,0
16.386,load,57,13.617,1500,0
16.436,load,57,13.553,1500,0
16.487,load,57,13.553,1500,0
16.537,load,57,13.553,1500,0
16.587,load,57,13.553,1500,0
16.638,load,57,13.553,1500,0
16.689,load,57,13.553,1500,0
16.739,load,57,13.553,1500,0
16.79,load,57,13.553,1500,0
16.84,load,57,13.553,1500,0
16.89,load,57,13.553,1500,0
16.941,load,57,13.553,1500,1
16.991,load,57,13.553,1500,1
17.042,load,57,13.553,1500,1
17.092,load,57,13.553,1500,1
17.142,load,57,13.553,1500,1
17.193,load,57,13.553,1500,1
17.243,load,57,13.553,1500,1
17.293,load,57,13.553,1500,1
17.344,load,57,13.553,1500,1
17.394,load,57,13.553,1500,1
17.445,load,56,12.738,352,1
17.495,load,56,12.738,352,1
17.546,load,56,12.738,352,1
17.596,load,56,12.738,352,1
17.647,load,56,12.738,352,1
17.697,load,56,12.738,352,1
17.748,load,56,12.738,352,1
17.798,load,56,12.738,352,1
17.849,load,56,12.738,352,1
17.899,load,56,12.738,352,1
17.95,load,56,12.738,352,1
18.0,load,56,12.738,352,1
18.05,load,56,12.738,352,1
18.101,load,56,12.738,352,1
18.151,load,56,12.738,352,1
18.201,load,56,12.738,352,1
18.252,load,56,12.738,352,1
18.302,load,56,12.738,352,1
18.353,load,56,12.738,352,1
18.403,load,56,12.738,352,1
18.454,load,55,9.13,225,1
18.504,load,55,9.13,225,1
18.555,load,55,9.13,225,1
18.605,load,55,9.13,225,1
18.655,load,55,9.13,225,1
18.706,load,55,9.13,225,1
18.756,load,55,9.13,225,1
18.807,load,55,9.13,225,1
18.857,load,55,9.13,225,1
18.908,load,55,9.13,225,1
18.958,load,55,9.13,225,1
19.008,load,55,9.13,225,1
19.059,load,55,9.13,225,1
19.109,load,55,9.13,225,1
19.16,load,55,9.13,225,1
19.21,load,55,9.13,225,1
19.261,load,55,9.13,225,1
19.311,load,55,9.13,225,1
19.362,load,55,9.13,225,1
19.412,load,55,9.13,225,1
19.463,load,55,6.231,210,1
19.513,load,55,6.231,210,1
19.563,load,55,6.231,210,1
19.614,load,55,6.231,210,1
