ts,temp,power_w,sm_mhz,throttle
1788093728.06094,89,31.965,1222,32
1788093728.111562,89,31.965,1222,32
1788093728.1621048,88,34.431,907,32
1788093728.2126012,88,34.431,907,32
1788093728.2631269,88,34.431,907,32
1788093728.3137436,88,34.431,907,32
1788093728.3644307,88,34.431,907,32
1788093728.415083,88,34.431,907,32
1788093728.4652872,88,34.431,907,32
1788093728.5155468,88,34.431,907,32
1788093728.566016,88,34.431,907,32
1788093728.6165862,88,34.431,907,32
1788093728.6667178,88,32.333,825,32
1788093728.7171133,88,32.333,825,32
1788093728.7675903,88,32.333,825,32
1788093728.8180814,88,32.333,825,32
1788093728.8685486,88,32.333,825,32
1788093728.9187486,88,32.333,825,32
1788093728.9689953,88,32.333,825,32
1788093729.0193226,88,32.333,825,32
1788093729.0696914,88,32.333,825,32
1788093729.120022,88,32.333,825,32
1788093729.1701999,88,32.0,847,32
1788093729.2204819,88,32.0,847,32
1788093729.2709358,88,32.0,847,32
1788093729.321564,88,32.0,847,32
1788093729.3720205,88,32.0,847,32
1788093729.4223208,88,32.0,847,32
1788093729.472937,88,32.0,847,32
1788093729.5235338,88,32.0,847,32
1788093729.5741522,88,32.0,847,32
1788093729.6247818,88,32.0,847,32
1788093729.674952,88,31.939,795,32
1788093729.7253764,88,31.939,795,32
1788093729.7755482,88,31.939,795,32
1788093729.8261106,88,31.939,795,32
1788093729.8765516,88,31.939,795,32
1788093729.927112,88,31.939,795,32
1788093729.9773688,88,31.939,795,32
1788093730.02801,88,31.939,795,32
1788093730.078147,88,31.939,795,32
1788093730.128463,89,33.56,1222,32
1788093730.178672,89,33.56,1222,32
1788093730.2293243,89,33.56,1222,32
1788093730.2799406,89,33.56,1222,32
1788093730.3303282,89,33.56,1222,32
1788093730.3807244,89,33.56,1222,32
1788093730.4313524,89,33.56,1222,32
1788093730.481719,89,33.56,1222,32
1788093730.532312,89,33.56,1222,32
1788093730.58253,89,33.56,1222,32
1788093730.632902,88,33.33,232,32
1788093730.6833956,88,33.33,232,32
1788093730.7337005,88,33.33,232,32
1788093730.7841477,88,33.33,232,32
1788093730.834591,88,33.33,232,32
1788093730.8851762,88,33.33,232,32
1788093730.9355123,88,33.33,232,32
1788093730.985732,88,33.33,232,32
1788093731.0363076,88,33.33,232,32
1788093731.0865288,88,33.33,232,32
1788093731.1368897,87,30.197,1305,1
1788093731.1872046,87,30.197,1305,1
1788093731.2374525,87,30.197,1305,1
1788093731.2880907,87,30.197,1305,1
1788093731.3387587,87,30.197,1305,1
1788093731.389447,87,30.197,1305,1
1788093731.4400072,87,30.197,1305,1
1788093731.4903638,87,30.197,1305,1
1788093731.5408437,87,30.197,1305,1
1788093731.5914536,87,30.197,1305,1
1788093731.6420631,89,31.554,1057,32
1788093731.6926231,89,31.554,1057,32
1788093731.7430105,89,31.554,1057,32
1788093731.7935708,89,31.554,1057,32
1788093731.843748,89,31.554,1057,32
1788093731.8944814,89,31.554,1057,32
1788093731.9449813,89,31.554,1057,32
1788093731.9952698,89,31.554,1057,32
1788093732.0454943,89,31.554,1057,32
1788093732.0962,89,31.554,1057,32
1788093732.1466258,88,32.55,442,32
1788093732.1969154,88,32.55,442,32
1788093732.2471504,88,32.55,442,32
1788093732.2975116,88,32.55,442,32
1788093732.3479002,88,32.55,442,32
1788093732.3980856,88,32.55,442,32
1788093732.4484713,88,32.55,442,32
1788093732.4987695,88,32.55,442,32
1788093732.5490825,88,32.55,442,32
1788093732.5993361,88,32.55,442,32
1788093732.64969,88,32.297,1072,32
1788093732.7000914,88,32.297,1072,32
1788093732.7506552,88,32.297,1072,32
1788093732.8011835,88,32.297,1072,32
1788093732.8516772,88,32.297,1072,32
1788093732.902241,88,32.297,1072,32
1788093732.9525397,88,32.297,1072,32
1788093733.0028372,88,32.297,1072,32
1788093733.0531225,88,32.297,1072,32
1788093733.1036453,88,32.297,1072,32
1788093733.1543148,89,33.177,1102,32
1788093733.2045436,89,33.177,1102,32
1788093733.2548068,89,33.177,1102,32
1788093733.3055716,89,33.177,1102,32
1788093733.3559215,89,33.177,1102,32
1788093733.4060545,89,33.177,1102,32
1788093733.456493,89,33.177,1102,32
1788093733.507102,89,33.177,1102,32
1788093733.5573025,89,33.177,1102,32
1788093733.6077485,89,33.177,1102,32
1788093733.6580873,89,34.694,1147,32
1788093733.7087529,89,34.694,1147,32
1788093733.759266,89,34.694,1147,32
1788093733.8097541,89,34.694,1147,32
1788093733.8602145,89,34.694,1147,32
1788093733.910431,89,34.694,1147,32
1788093733.9610343,89,34.694,1147,32
1788093734.0112567,89,34.694,1147,32
1788093734.0616093,89,34.694,1147,32
1788093734.1119363,89,34.694,1147,32
1788093734.1622374,89,34.807,1207,32
1788093734.2124398,89,34.807,1207,32
1788093734.262901,89,34.807,1207,32
1788093734.3134725,89,34.807,1207,32
1788093734.3636985,89,34.807,1207,32
1788093734.4138832,89,34.807,1207,32
1788093734.4643579,89,34.807,1207,32
1788093734.5148306,89,34.807,1207,32
1788093734.5652912,89,34.807,1207,32
1788093734.6159205,89,34.807,1207,32
1788093734.6663463,89,34.878,1230,32
1788093734.7168179,89,34.878,1230,32
1788093734.7669826,89,34.878,1230,32
1788093734.8176298,89,34.878,1230,32
1788093734.8681138,89,34.878,1230,32
1788093734.918301,89,34.878,1230,32
1788093734.9685156,89,34.878,1230,32
1788093735.0191245,89,34.878,1230,32
1788093735.069659,89,34.878,1230,32
1788093735.1201658,89,34.878,1230,32
1788093735.1705966,89,32.548,1237,32
1788093735.2212021,89,32.548,1237,32
1788093735.2718492,89,32.548,1237,32
1788093735.3222377,89,32.548,1237,32
1788093735.372577,89,32.548,1237,32
1788093735.4228778,89,32.548,1237,32
1788093735.4731338,89,32.548,1237,32
1788093735.5234702,89,32.548,1237,32
1788093735.573899,89,32.548,1237,32
1788093735.6243706,89,32.548,1237,32
1788093735.6746418,89,33.0,720,32
1788093735.7253091,89,33.0,720,32
1788093735.7755497,89,33.0,720,32
1788093735.8258207,89,33.0,720,32
1788093735.8761315,89,33.0,720,32
